particle,frame,y,x,equivalent_diameter,perimeter,eccentricity,orientation_x_2_sin,orientation_x_2_cos,true_solidity,solidity,area,mean_intensity,angle,wtd_frame,wtd_y,wtd_x,wtd_equivalent_diameter,wtd_perimeter,wtd_eccentricity,wtd_orientation_x_2_sin,wtd_orientation_x_2_cos,wtd_true_solidity,wtd_solidity,wtd_area,wtd_mean_intensity,wtd_angle,bbox_top,bbox_left,bbox_bottom,bbox_right
1,30.000000,135.866309,126.996433,92.404085,601.547188,0.990194,-0.159292,-0.987232,0.153611,0.766967,6706.134000,2.000000,-1.490810,306.000000,156.168172,145.972912,79.658694,172.858387,4.950972,-0.796459,-4.936158,2.412911,0.766967,8860.000000,2.000000,-1.490810,11.000000,117.000000,295.000000,180.000000
1,31.000000,137.179572,125.927511,90.741286,592.250114,0.990180,-0.167253,-0.985914,0.153214,0.764359,6466.953600,2.000000,-1.486775,316.200000,157.677669,144.744265,78.225247,170.186815,4.950902,-0.836266,-4.929570,2.406687,0.764359,8544.000000,2.000000,-1.486775,17.000000,113.000000,298.000000,177.000000
1,32.000000,131.682789,125.396161,91.186255,613.994810,0.990699,-0.158777,-0.987314,0.148513,0.779686,6530.533200,2.000000,-1.491070,326.400000,151.359527,144.133519,78.608841,176.435290,4.953497,-0.793887,-4.936572,2.332838,0.779686,8628.000000,2.000000,-1.491070,17.000000,115.000000,296.000000,177.000000
1,33.000000,127.509718,124.325412,89.989428,603.549506,0.990623,-0.141488,-0.989940,0.149100,0.790201,6360.230700,2.000000,-1.499814,336.600000,146.562894,142.902773,77.577094,173.433766,4.953115,-0.707441,-4.949700,2.342062,0.790201,8403.000000,2.000000,-1.499814,17.000000,115.000000,290.000000,173.000000
1,34.000000,126.911263,123.085186,88.597171,607.513530,0.990505,-0.153263,-0.988185,0.145836,0.787870,6164.950500,2.000000,-1.493861,346.800000,145.875015,141.477225,76.376872,174.572853,4.952523,-0.766317,-4.940927,2.290782,0.787870,8145.000000,2.000000,-1.493861,16.000000,113.000000,290.000000,172.000000
1,35.000000,130.517254,122.588960,89.543894,604.630604,0.989135,-0.149530,-0.988757,0.148097,0.816567,6297.408000,2.000000,-1.495750,357.000000,150.019832,140.906851,77.193012,173.744426,4.945675,-0.747650,-4.943786,2.326300,0.816567,8320.000000,2.000000,-1.495750,26.000000,113.000000,296.000000,171.000000
1,36.000000,126.786641,121.484878,87.931141,590.231884,0.989595,-0.148379,-0.988931,0.148977,0.804391,6072.608700,2.000000,-1.496332,367.200000,145.731771,139.637791,75.802708,169.606863,4.947975,-0.741897,-4.944653,2.340130,0.804391,8023.000000,2.000000,-1.496332,19.000000,113.000000,288.000000,171.000000
4,0.000000,31.312053,513.653474,53.373604,221.197312,0.709715,0.687488,-0.726196,0.241294,0.824317,2237.396400,50.000000,1.191784,0.000000,35.990866,590.406292,46.011727,63.562446,3.548575,3.437439,-3.630980,3.790239,0.824317,2956.000000,50.000000,1.191784,3.000000,552.000000,84.000000,625.000000
4,1.000000,33.819940,515.559183,50.592757,210.597435,0.836204,0.258669,-0.965966,0.240234,0.817734,2010.326400,47.000000,1.439974,10.200000,38.873494,592.596762,43.614446,60.516504,4.181021,1.293347,-4.829829,3.773594,0.817734,2656.000000,47.000000,1.439974,4.000000,569.000000,88.000000,622.000000
4,2.000000,38.408603,513.346940,51.066749,205.675972,0.848895,-0.128707,-0.991683,0.248287,0.859593,2048.171400,42.000000,-1.506264,20.400000,44.147820,590.053954,44.023059,59.102291,4.244473,-0.643535,-4.958413,3.900089,0.859593,2706.000000,42.000000,-1.506264,9.000000,566.000000,93.000000,615.000000
4,3.000000,40.827541,512.844524,53.346513,213.444143,0.867744,-0.147649,-0.989040,0.249932,0.868274,2235.125700,38.000000,-1.496701,30.600000,46.928209,589.476465,45.988373,61.334524,4.338721,-0.738244,-4.945199,3.925922,0.868274,2953.000000,38.000000,-1.496701,9.000000,566.000000,96.000000,613.000000
4,4.000000,40.431920,512.557903,51.142180,202.880485,0.870212,-0.216936,-0.976186,0.252080,0.917202,2054.226600,38.000000,-1.461459,40.800000,46.473471,589.147015,44.088086,58.298990,4.351059,-1.084678,-4.880930,3.959669,0.917202,2714.000000,38.000000,-1.461459,11.000000,567.000000,97.000000,610.000000
4,5.000000,38.275968,512.080759,51.992505,203.601216,0.829206,-0.190764,-0.981636,0.255364,0.901060,2123.104500,41.000000,-1.474826,51.000000,43.995365,588.598574,44.821125,58.506097,4.146028,-0.953818,-4.908180,4.011255,0.901060,2805.000000,41.000000,-1.474826,9.000000,565.000000,92.000000,611.000000
4,6.000000,36.316978,511.457396,48.511772,189.171582,0.842732,-0.441956,-0.897037,0.256443,0.929577,1848.349800,45.000000,-1.341907,61.200000,41.743653,587.882064,41.820493,54.359650,4.213658,-2.209782,-4.485183,4.028201,0.929577,2442.000000,45.000000,-1.341907,9.000000,564.000000,89.000000,609.000000
4,7.000000,32.044769,509.170446,49.182565,182.721216,0.813277,-0.428879,-0.903362,0.269167,0.951839,1899.819000,44.000000,-1.349171,71.400000,36.833068,585.253386,42.398763,52.506097,4.066385,-2.144393,-4.516811,4.228069,0.951839,2510.000000,44.000000,-1.349171,3.000000,563.000000,82.000000,608.000000
4,8.000000,31.533801,511.139426,47.609429,187.730119,0.855700,-0.232182,-0.972672,0.253606,0.896000,1780.228800,43.000000,-1.453636,81.600000,36.245748,587.516582,41.042611,53.945436,4.278501,-1.160908,-4.863362,3.983629,0.896000,2352.000000,43.000000,-1.453636,3.000000,566.000000,82.000000,610.000000
4,9.000000,33.768165,508.669051,48.122834,184.337558,0.843252,-0.213503,-0.976942,0.261058,0.918227,1818.830700,44.000000,-1.463217,91.800000,38.813983,584.677070,41.485202,52.970563,4.216259,-1.067513,-4.884712,4.100693,0.918227,2403.000000,44.000000,-1.463217,4.000000,565.000000,80.000000,607.000000
4,10.000000,34.547954,508.683853,48.769341,202.072314,0.912922,-0.429729,-0.902958,0.241346,0.905688,1868.029200,41.000000,-1.348700,102.000000,39.710292,584.694084,42.042536,58.066757,4.564609,-2.148644,-4.514790,3.791054,0.905688,2468.000000,41.000000,-1.348700,1.000000,564.000000,91.000000,606.000000
4,11.000000,33.639488,508.651429,46.741223,190.911582,0.914296,-0.477517,-0.878622,0.244832,0.927578,1715.892300,44.000000,-1.321883,112.200000,38.666079,584.656815,40.294158,54.859650,4.571481,-2.387586,-4.393112,3.845809,0.927578,2267.000000,44.000000,-1.321883,1.000000,565.000000,87.000000,605.000000
4,12.000000,34.971173,508.695988,46.212471,192.950119,0.916370,-0.463626,-0.886031,0.239505,0.916081,1677.290400,46.000000,-1.329755,122.400000,40.196751,584.708032,39.838337,55.445436,4.581848,-2.318129,-4.430156,3.762132,0.916081,2216.000000,46.000000,-1.329755,2.000000,565.000000,88.000000,605.000000
