time,avg_area,avg_perimeter,avg_angle,avg_circularity,avg_segment_length,total_path_length,avg_orientation,euclidean_distance,avg_speed,avg_velocity,avg_directedness,avg_turn_angle,avg_direction_autocorrelation
240,1796.5562142857143,231.92185714285714,92.79514285714286,0.4672142857142857,9.509407947359495,153.37557837557657,-0.7058173825646057,79.674202250089,5.705644768415698,7.967420225008899,0.839367036755989,21.691633364117365,0.2111003930483452
250,2090.1793571428575,255.15492857142857,89.78057142857142,0.4401428571428572,7.586606232477167,160.96218460805372,-0.6504368930101393,84.10138572301068,4.5519637394863,8.410138572301069,0.8430376306639662,-0.4732105694714313,0.20516509672199584
260,1939.1777857142858,255.46871428571427,86.94535714285715,0.4154999999999999,4.412609054000496,165.37479366205417,-0.6774328635644499,84.91768949496092,2.6475654324002984,8.491768949496093,0.8447434083727956,30.146295271798724,-0.25071245907658746
270,2231.827785714286,268.6912142857143,77.30671428571428,0.4343571428571429,8.441010995675379,173.8158046577296,-0.45053321777526006,91.51414192324225,5.064606597405226,9.151414192324225,0.8557914263990092,-3.1105734623752497,-0.09650683567636571
280,2122.401642857143,257.61421428571424,80.88407142857145,0.4509285714285714,5.761901848486566,179.57770650621612,-0.6030286165028702,93.78478265507877,3.45714110909194,9.378478265507876,0.8671670908010517,18.39300474259113,0.20974205848337604
290,2206.471642857143,263.81021428571427,92.20335714285716,0.4442857142857143,6.068010258429621,185.64571676464575,-0.49855210778720976,97.64099140030756,3.6408061550577715,9.764099140030755,0.8702436851512044,-7.10243924897561,0.269208790124368
300,1973.6707857142853,250.06050000000002,86.6575,0.4480714285714285,5.025911692080784,190.67162845672655,-0.6358797815048609,98.6865209417897,3.0155470152484702,9.86865209417897,0.8739767258660256,1.5740967474215626,0.3409054320654101
310,1823.8047142857142,243.40321428571428,100.48100000000001,0.43057142857142855,7.40997187455883,198.08160033128541,-0.5229150467608022,102.28082784811984,4.4459831247352986,10.228082784811985,0.8838843858470972,3.972819154374602,0.19801090498511947
320,1940.907857142857,253.00685714285711,88.67557142857143,0.42628571428571427,7.782498157219729,205.86409848850508,-0.5527627747404196,107.17327121817847,4.669498894331838,10.717327121817847,0.8895937334043007,-9.542204237411873,0.11668213086693431
330,1806.45,242.098,89.16664285714285,0.4409285714285714,7.763825929563076,213.62792441806818,-0.6174655315555174,109.76288508698669,4.658295557737846,10.97628850869867,0.8995405767464201,-8.990496894802444,0.29790655337897154
340,1838.9967142857138,250.22350000000003,88.56971428571428,0.4144285714285713,6.962691002765843,220.59061542083404,-0.6767171430628786,112.84210622050908,4.177614601659505,11.284210622050908,0.9047165476626061,-15.119223255208178,-0.25221913451460937
350,1744.8707857142856,247.21692857142858,91.2817142857143,0.39421428571428574,4.25854314216342,224.84915856299745,-0.7620442651083168,115.29738060565913,2.5551258852980516,11.529738060565913,0.9092824911154362,2.6363603836078258,-0.0767765730575507
360,2115.2112857142856,266.90228571428565,92.60707142857144,0.4018571428571428,8.314959062202364,233.16411762519982,-0.7220600190279837,119.45279489671225,4.988975437321417,11.945279489671226,0.916727374834147,0.24350902240676195,-0.011998651300511904
370,2442.732642857143,295.32314285714284,93.82078571428572,0.36957142857142855,13.045424724752687,246.2095423499525,-0.742759859049918,125.20742918226237,7.827254834851613,12.520742918226237,0.9092328868753994,-7.692755779470377,-0.07512472007943614
380,1916.7951428571432,260.2657857142857,104.84257142857142,0.3781428571428571,15.355701933118198,261.5652442830707,-0.5840535417500877,128.35410875366273,9.213421159870919,12.835410875366273,0.9121886336554884,-26.25292070421911,0.2810740262180497
390,2105.7498571428573,267.5839285714286,94.77835714285713,0.41385714285714287,10.176418380386563,271.74166266345725,-0.6592897188486064,134.97617826618927,6.105851028231938,13.497617826618926,0.9174307449970797,-0.6512153858324903,0.004069376297788617
400,1970.8053571428572,256.70428571428573,99.66071428571429,0.3954999999999999,7.726542643059519,279.4682053065168,-0.6740818464393322,137.11473820603754,4.635925585835712,13.711473820603754,0.91239950486581,19.55459569631782,0.03265884942336604
410,2145.4872142857143,263.40049999999997,97.07064285714286,0.41092857142857137,8.914667241756927,288.3828725482737,-0.7825803867121658,139.9964760538405,5.348800345054157,13.99964760538405,0.9214385215426809,-21.341196916184124,0.10640519592346975
420,1946.6927142857144,254.38907142857144,95.59849999999999,0.40985714285714286,5.740861931567137,294.12373447984083,-0.8282295505666998,141.85835459336948,3.444517158940282,14.185835459336948,0.9202211872341033,-31.305737687607362,-0.055805173399988445
