Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,7,2,278.4264832,207.1791229,5.789988597,0.108999997,53.11916272,-60.34074127,347.0511425,-5.031402588,2.865127563,26457.0325,15084.51058,9607,58486,10582813
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,8,2,165.2524109,537.3185425,1.748002307,0.108999997,16.0367188,-34.37398656,562.1561842,-0.986907959,1.442749023,20966.59,5639.395498,8662,38105,8386636
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,9,2,214.0084991,535.5036621,4.169889472,0.108999997,38.25586763,84.60885747,576.6834572,4.151443481,0.391784668,26976.545,13394.54203,9376,57504,10790618
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,10,2,263.9946289,553.9552612,2.190021646,0.108999997,20.09194219,27.69345214,613.6445189,1.017791748,1.939147949,23320.72,5175.792505,7844,36794,9328288
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,11,2,284,596.4994507,1.016967773,0.108999997,9.329979797,180,660.6569417,0,-1.016967773,25349.8675,11664.68828,8005,62380,10139947
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,12,2,292.0324402,576.7038574,27.61517012,0.108999997,253.3501907,-122.2827127,646.428871,-23.3465271,-14.74914551,27497.2525,9451.626642,10121,61615,10998901
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,13,2,306.4378662,553.2200317,2.327497745,0.108999997,21.35319084,-55.867838,632.4211962,-1.926574707,1.305969238,21960.9725,10063.33417,8650,47390,8784389
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,14,2,384.7216492,524.3742065,1.90944934,0.108999997,17.51788428,74.04988684,650.3684001,1.8359375,0.524719238,23797.4,10230.81642,8134,48027,9518960
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,15,2,340.5153809,487.9253845,1.185544287,0.108999997,10.87655336,-155.8723176,594.9973995,-0.484619141,-1.081970215,22839.1825,11507.8986,8738,51148,9135673
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,16,2,33.20869446,698.8421631,5.080965924,0.108999997,46.6143674,-80.48446614,699.63075,-5.011054993,0.83996582,19880.285,6531.491512,8257,53289,7952114
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,17,2,100.2609634,707.7167358,22.84664962,0.108999997,209.6022952,21.1974722,714.7833511,8.26096344,21.30084229,27773.28,7332.506081,14015,61773,11109312
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,18,2,90.16768646,912.4497681,0.433509594,0.108999997,3.97715233,-3.92052601,916.8941002,-0.029640198,0.432495117,20566.4875,11540.24695,7216,53212,8226595
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,19,2,212.4715729,769.0762329,0.722296028,0.108999997,6.626569228,172.731604,797.8862208,0.091384888,-0.716491699,22229.9375,6491.482333,8594,40897,8891975
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,20,2,318.4676514,928.7110596,0.851113252,0.108999997,7.808378644,33.56873084,981.7972689,0.470611572,0.70916748,18618.625,4500.998625,9199,29807,7447450
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,21,2,480.443634,729.9029541,3.018446865,0.108999997,27.69217374,-90.54460866,873.8331694,-3.018310547,-0.028686523,22325.01,8458.021791,10008,42142,8930004
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,22,2,606.3192139,139.3345337,3.611658289,0.108999997,33.13448051,-78.8627473,622.1230597,-3.543640137,0.697631836,24489.82,12818.00504,7819,53782,9795928
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,23,2,551.1502686,37.16926575,13.71887064,0.108999997,125.8612015,-110.6760895,552.402184,-12.83526611,-4.843898773,25401.4875,9784.084763,9441,50698,10160595
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,24,2,843.2965088,289.2821655,3.005410452,0.108999997,27.57257361,-100.7156647,891.5341682,-2.95300293,-0.558807373,23502.715,5315.304798,10583,40895,9401086
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,25,2,799.7718506,394.3900757,0.662118234,0.108999997,6.074479354,-44.49585073,891.7278423,-0.464050293,0.472290039,25419.5275,6145.222286,12070,38231,10167811
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,26,2,807.109375,435.7723083,0.982414005,0.108999997,9.012972738,88.91787504,917.2366368,0.98223877,0.018554688,25078.8375,5706.272949,10228,40916,10031535
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,27,2,860.5603027,387.5052795,1.528914686,0.108999997,14.02674058,-11.38305945,943.7819538,-0.301757813,1.498840332,27917.38,11205.6289,10167,54823,11166952
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,28,2,788.633667,513.8617554,0.653182912,0.108999997,5.992503923,103.2234396,941.2741175,0.635864258,-0.149414063,24129.9575,6860.604804,11599,47503,9651983
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,29,2,771.8153687,654.8134155,1.467463535,0.108999997,13.46296853,-168.5570131,1012.165783,-0.291137695,-1.438293457,29250.4875,14360.07767,10403,60905,11700195
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,30,2,655.6557007,825.5107422,1.601131364,0.108999997,14.68927892,-13.0154185,1054.206993,-0.360595703,1.559997559,19459.43,6578.912645,6895,34314,7783772
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,31,2,609.9462891,767.8776245,0.139202687,0.108999997,1.277088902,-163.5198637,980.6480111,-0.039489746,-0.133483887,22044.715,8497.77296,7171,44232,8817886
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,32,2,524.1341553,861.1583252,3.71617498,0.108999997,34.09334926,178.3644068,1008.122152,0.106079102,-3.714660645,22361.8075,6017.354067,10635,42081,8944723
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,33,2,476.8233032,951.9337158,1.179886655,0.108999997,10.82464847,-93.33634256,1064.677539,-1.177886963,-0.068664551,21026.92,4798.159325,9557,32680,8410768
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,34,2,762.0977783,872.3235474,0.351274526,0.108999997,3.222702151,15.83054164,1158.335614,0.095825195,0.33795166,22123.5075,5549.384888,13024,54409,8849403
20180515EF300XY12T,2,17:03.4,00:00.1,No Label,0,35,2,831.098999,886.5217285,2.735581709,0.108999997,25.09708051,74.73283551,1215.173371,2.639038086,0.720336914,22924.3775,7574.323223,11545,51741,9169751
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,1,3,71.75939178,120.8007736,0.575665898,0.108999997,5.281338641,158.3546791,140.5070718,0.212341309,-0.535072327,21564.775,4465.580525,7185,33803,8625910
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,2,3,161.0283051,117.1688843,0.993797784,0.108999997,9.11741108,58.42427374,199.1448279,0.846664429,0.520378113,26907.5025,15114.03299,10779,61427,10763001
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,3,3,31.72967339,278.4449768,1.754448302,0.108999997,16.09585637,169.3422239,280.2469934,0.324476242,-1.724182129,23905.94,5413.759416,12679,36856,9562376
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,4,3,92.33439636,272.4781799,2.712289455,0.108999997,24.88339009,-147.5787841,287.6977568,-1.454170227,-2.289520264,21060.5825,7078.31012,6814,36551,8424233
