 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
36,16-1_10min:n_2_t_13:_10035,1413.889,255,0,255,255,255,549.102,678.74,549.102,678.74,227.225,522,642.93,46.11,71.34,61.483,29.28,88.929,0.344,76.767,360541.746,255,NaN,NaN,100,476340,36,523.74,714.27,66.631,43.646,2.1,0.476,0.589
37,16-1_10min:n_2_t_16:_10036,1790.825,255,0,255,255,255,557.987,675.503,557.987,675.503,272.167,522.87,627.27,55.68,87,74.782,30.49,87.208,0.304,92.764,456660.477,255,NaN,NaN,100,603330,37,522.87,714.27,69.696,49.928,2.453,0.408,0.562
38,16-1_10min:n_2_t_28:_10037,1622.794,255,0,255,255,255,570.53,671.775,570.53,671.775,237.12,549.84,625.53,35.67,84.39,85.676,24.117,93.483,0.363,85.685,413812.368,255,NaN,NaN,100,546720,38,558.54,625.53,102.907,35.014,3.553,0.281,0.649
39,16-1_10min:n_2_t_37:_10038,1064.958,255,0,255,255,255,575.757,662.966,575.757,662.966,198.417,555.93,625.53,40.89,72.21,66.468,20.4,123.424,0.34,78.034,271564.367,255,NaN,NaN,100,358785,39,557.67,625.53,112.276,27.65,3.258,0.307,0.656
40,16-1_10min:n_2_t_38:_10039,843.187,255,0,255,255,255,584.802,669.713,584.802,669.713,148.467,564.63,641.19,39.15,53.94,56.514,18.997,129.519,0.481,59.929,215012.583,255,NaN,NaN,100,284070,40,568.11,641.19,117.681,22.678,2.975,0.336,0.779
41,16-1_10min:n_2_t_39:_10040,1108.859,255,0,255,255,255,594.097,677.853,594.097,677.853,174.021,577.68,650.76,29.58,69.6,61.446,22.977,98.068,0.46,69.687,282758.918,255,NaN,NaN,100,373575,41,592.47,720.36,87.138,27.137,2.674,0.374,0.803
42,16-1_10min:n_2_t_39:_10041,948.396,255,0,255,255,255,598.58,664.984,598.58,664.984,164.215,576.81,639.45,35.67,58.29,49.78,24.257,101.587,0.442,58.704,241840.903,255,NaN,NaN,100,319515,42,602.91,697.74,83.191,35.302,2.052,0.487,0.738
43,16-1_10min:n_2_t_39:_10042,842.43,255,0,255,255,255,609.118,656.82,609.118,656.82,150.979,587.25,636.84,35.67,53.07,45.397,23.627,95.771,0.464,53.248,214819.573,255,NaN,NaN,100,283815,43,609,689.91,85.314,34.329,1.921,0.52,0.714
44,16-1_10min:n_2_t_48:_10043,1092.207,255,0,255,255,255,617.03,662.492,617.03,662.492,186.15,598.56,629.88,33.06,64.38,57.492,24.188,88.802,0.396,65.221,278512.709,255,NaN,NaN,100,367965,44,600.3,694.26,80.789,32.838,2.377,0.421,0.639
45,16-1_10min:n_2_t_50:_10044,2323.683,255,0,255,255,255,618.992,689.776,618.992,689.776,275.436,595.95,627.27,38.28,112.23,101.987,29.01,88.726,0.385,114,592539.165,255,NaN,NaN,100,782850,45,609,627.27,100.109,37.507,3.516,0.284,0.729
